# Harmonic constants from web snapshot taken 2009-12-22
# Datum from benchmark sheet, publication date 2004-10-21
# BEGIN HOT COMMENTS
# country: F.S.M.
# source: http://tidesandcurrents.noaa.gov/
# restriction: Public domain
# station_id_context: NOS
# station_id: 1840000
# date_imported: 20091223
# datum: Mean Lower Low Water
# confidence: 10
# !units: feet
# !longitude: 151.8467
# !latitude: 7.4467
Chuuk, Moen Island, E. Caroline Islands, F.S.M.
+00:00 :Pacific/Truk
0.8596 feet
J1              0.0350   81.20
K1              0.6170   64.80
K2              0.0990  143.20
L2              0.0060   73.60
M1              0.0280   54.40
M2              0.2370  129.20
M3              0.0140   30.60
x 0 0
x 0 0
x 0 0
N2              0.0540  185.00
2N2             0.0070  240.70
O1              0.3890   44.00
OO1             0.0160   85.60
P1              0.1990   64.20
Q1              0.0750   34.20
2Q1             0.0100   23.20
R2              0.0030  147.40
S1              0.0130  253.00
S2              0.3440  147.50
x 0 0
x 0 0
T2              0.0200  147.50
LDA2            0.0020  137.70
MU2             0.0190  133.40
NU2             0.0100  177.40
RHO1            0.0140   35.10
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
MF              0.0420   16.70
x 0 0
x 0 0
SA              0.1080   62.60
SSA             0.1040   25.70
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
